Starting Memory (MB): 301212
Run, Reponse Time (ms), Average Memory (MB), Min Memory (MB), Max Memory (MB)
1,16848,271876,252252,281472
2,16060,279123,274260,287688
3,15844,285261,283008,289756
4,17636,274724,260112,284912
5,15899,282621,278932,285324
6,15777,284580,280968,287688
7,15082,283646,276452,287824
8,21094,287516,283236,289996
9,20190,283168,266264,290796
10,31832,287674,279496,291860
11,15740,289012,285556,292288
12,17288,281382,267480,289468
13,17530,292470,288788,295496
14,16244,293907,289412,296212
15,14456,289594,281072,293884
16,17165,294472,290036,296844
17,18537,290491,274024,297148
18,28613,293842,286836,295856
19,24355,295286,291620,298352
20,17413,289040,274812,295760
21,23210,295336,291400,298192
22,34110,294903,290972,297736
23,22373,286698,269192,293476
24,19486,292424,288096,294912
25,16724,290697,273312,296708
26,17403,292789,286132,294908
27,18538,294469,289828,296576
28,17357,288457,273744,295148
29,16378,293040,289988,302684
30,17337,300031,296048,302832
